meta_title,meta_description,title
Fact Sheet: Digital Services COVID-19 Vaccine Portal,,Process Automation and Digital Services COVID-19 Vaccine Portal,,Get Your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/09_Fact-Sheet-Vaccine-Portal-1013-092322.png?width=1200&name=09_Fact-Sheet-Vaccine-Portal-1013-092322.png
Process Automation Fact Sheet | Scheduling Module,,Free Up Your Workday with the CivicPlus® Process Automation and Digital Services Scheduling Module,The Easiest Way for Residents to Book In-Person or Virtual Appointments ,,https://www.civicplus.com/hs-fs/hubfs/09%20%20LP%20%20Offer%20Image%20%20Scheduling%20Module%20Fact%20Sheet.png?width=1500&height=1500&name=09%20%20LP%20%20Offer%20Image%20%20Scheduling%20Module%20Fact%20Sheet.png
Fact Sheet | Civic Experience Platform,,Technology to Build a Better Community,,Get Your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/01-Fact-Sheet-The-Power-of-Partnering-with-Us-1012-072022.png?width=900&name=01-Fact-Sheet-The-Power-of-Partnering-with-Us-1012-072022.png
CivicPlus Chatbot Fact Sheet: Powering Engagement with AI,,CivicPlus® Chatbot,,Get Your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/CivicPlus%20Chatbot%20AI%20-%20Fact%20Sheet.png?width=1050&name=CivicPlus%20Chatbot%20AI%20-%20Fact%20Sheet.png
Fact Sheet | CivicPlus Portal,,CivicPlus Portal,,Get Your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/CivicPlus%20%20CivicPlus%20Portal%20FS%20%20Landing%20Page%20(1)-1.png?width=900&name=CivicPlus%20%20CivicPlus%20Portal%20FS%20%20Landing%20Page%20(1)-1.png
Fact Sheet: Integrated solutions for small municipalities,,"Integrated Solutions to Help Small Municipalities Serve, Operate, and Govern Efficiently",,Get your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/CivicPlus-Brochure-Small-Government-Solutions-CP-2004-050922.final.png?width=1050&name=CivicPlus-Brochure-Small-Government-Solutions-CP-2004-050922.final.png
Fact Sheet | CivicClerk + CivicPlus Portal,,CivicClerk® + CivicPlus Portal,,Get Your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/CivicPlus%20Portal_CivicPlus%20+%20CivicClerk_Thumbnail.png?width=900&name=CivicPlus%20Portal_CivicPlus%20+%20CivicClerk_Thumbnail.png
Fact Sheet | CivicEngage + CivicPlus Portal,,CivicEngage® + CivicPlus Portal,,Get Your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/CivicPlus%20Portal_CivicEngage_FS_image.png?width=900&name=CivicPlus%20Portal_CivicEngage_FS_image.png
Fact Sheet | CivicReady + CivicPlus Portal,,CivicReady® + CivicPlus Portal,,Get Your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/CivicPlus_Portal_Ready_LP%20image.png?width=900&name=CivicPlus_Portal_Ready_LP%20image.png
Fact Sheet | CivicRec + CivicPlus Portal,,CivicRec® + CivicPlus Portal,,Get Your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/CivicPlus_Portal_Fact-Sheet-CivicRec_PL-1022-111021.png?width=900&name=CivicPlus_Portal_Fact-Sheet-CivicRec_PL-1022-111021.png
Fact Sheet | SeeClickFix + CivicPlus Portal,,SeeClickFix + CivicPlus Portal,,Get Your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/CivicPlus%20%20Fact%20Sheet%20%20SeeClickFix%20+%20CivicPlus%20Portal%202021.png?width=870&name=CivicPlus%20%20Fact%20Sheet%20%20SeeClickFix%20+%20CivicPlus%20Portal%202021.png
CivicGov Fact Sheet: Streamline Your Government Operations,,Community Development Software from CivicPlus®,"Designed by former government employees who know the permitting, licensing, and code enforcement space inside and out.",Get Your Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/Planning%2c%20Permitting%2c%20Enforcement%20and%20Licensing%20Software%20from%20CivicPlus%C2%AE.png?width=900&name=Planning%2c%20Permitting%2c%20Enforcement%20and%20Licensing%20Software%20from%20CivicPlus%C2%AE.png
8 Reasons You Should Convert Activity Catalogs to Digital,,Checklist: 8 Reasons You Should Convert Your Printed Activity Catalog to Digital,,Get Your Checklist,https://www.civicplus.com/hs-fs/hubfs/Activity%20Catalog%20Checklist%20Image.png?width=930&name=Activity%20Catalog%20Checklist%20Image.png
CivicRec | Virtual Parks and Rec Activities,,Don’t Let COVID-19 Wreck Your Recreation Efforts,Fact Sheet: Keep Citizens Engaged and Active with 14 Virtual Parks and Rec Activities,14 Virtual Parks and Rec Activities,https://www.civicplus.com/hs-fs/hubfs/future-proofing-cover-1.png?width=999&name=future-proofing-cover-1.png
12 Marketing Techniques for Reaching New Residents,,Promotion Best Practices Fact Sheet,12 Marketing Techniques to Promote your Parks and Rec Activities,Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/06-200-Fact-Sheet-Reach-New-Residents-Marketing-Technique.png?width=999&name=06-200-Fact-Sheet-Reach-New-Residents-Marketing-Technique.png
19 Tips for Promoting Your Parks and Rec Activities Using Social Media,,"Master the Hashtag, Tweet, Post, and Share",Learn 19 Tips for Promoting Your Park and Rec Activities Using Social Media,Fact Sheet,https://www.civicplus.com/hs-fs/hubfs/06-Fact-Sheet-Promoting_Activities%20on%20Social%20-%201001-071522.png?width=840&name=06-Fact-Sheet-Promoting_Activities%20on%20Social%20-%201001-071522.png
CivicPlus | Integration with FEMA's IPAWS,,Municipal Websites,https://www.civicplus.com/hubfs/_Logos/CivicPlus%20Wordmark%20Mobile.png
CivicPlus | Municipal Website Central Send Module,,Municipal Websites,https://www.civicplus.com/hubfs/_Logos/CivicPlus%20Wordmark%20Mobile.png
CivicPlus | CivicPlus Media Fact Sheet,,Municipal Websites,https://www.civicplus.com/hubfs/_Logos/CivicPlus%20Wordmark%20Mobile.png
CivicPlus | CivicPlus Mobile,,Municipal Websites,https://www.civicplus.com/hubfs/_Logos/CivicPlus%20Wordmark%20Mobile.png
Electronic Payments for Citizens Made Easy | CivicPlus Pay,,Municipal Websites,https://www.civicplus.com/hubfs/_Logos/CivicPlus%20Wordmark%20Mobile.png
CivicPlus | CivicPlus Media Fact Sheet,,Municipal Websites,https://www.civicplus.com/hubfs/_Logos/CivicPlus%20Wordmark%20Mobile.png
Creative Uses for 311 & Citizen Requests | CivicPlus CRM,,Common and Creative Uses for 311 CRM Technology,,Get Your Infographic,https://www.civicplus.com/hs-fs/hubfs/08-Infographic-use-case_edited_FINAL2.png?width=1050&height=1278&name=08-Infographic-use-case_edited_FINAL2.png
Infographics | Give Your Residents a Voice in Public Works,,"Give Residents a Voice and Leaders a Way to Listen
Create Positive Civic Experiences with 311 CRM Software",,Get Your Infographic,https://www.civicplus.com/hs-fs/hubfs/free-image-resizer-cropper%20(10).png?width=870&name=free-image-resizer-cropper%20(10).png
CivicPlus | What Is 311 Citizen Relationship Management (CRM) Software,,"What is a 311 CRM System?
And how to get Stakeholder Buy-in to Implement One ",,Get Your Infographic,https://www.civicplus.com/hs-fs/hubfs/08%20-%20landing%20page%20graphic%20-%20CRM%20Infographic%20-%202023.png?width=990&height=990&name=08%20-%20landing%20page%20graphic%20-%20CRM%20Infographic%20-%202023.png
CivicReady How Much Time to Communicate Infographic,,"How Much Time Do You Have to Communicate
During an Emergency?","Many types of emergencies can happen in your community. Do you know how much time you will need to
communicate the danger to your residents? Are you prepared to communicate with them at a moment's notice?",How Much Time Infographic,https://www.civicplus.com/hs-fs/hubfs/imac-and-ipad-mockup-in-portrait-position-over-a-null-background-a12317.png?width=1608&height=1206&name=imac-and-ipad-mockup-in-portrait-position-over-a-null-background-a12317.png
Infographic | CivicPlus Chatbot | Future of Resident Service,,The Future of Resident Services is Here — and it’s Automated,,Get the Infographic,https://www.civicplus.com/hs-fs/hubfs/02%20%20LP%20%20Offer%20Image%20%20Chatbot%20AI%20Infographic.png?width=1500&height=1500&name=02%20%20LP%20%20Offer%20Image%20%20Chatbot%20AI%20Infographic.png
Infographic | Parks and Recreation Advocacy,,"Looking for Extra Parks Funding?
Make Advocacy a Regular Part of Your Strategic Planning",,Infographic,https://www.civicplus.com/hs-fs/hubfs/06-7001-081522-Infographic-Advocating-for-Parks-and-Rec-Resources.png?width=999&name=06-7001-081522-Infographic-Advocating-for-Parks-and-Rec-Resources.png
CivicPlus | Did You Get the Alert?,,"Did You Get the Alert?
Optimize Your CivicPlus® Mass Notification System",,Download the Infographic,https://www.civicplus.com/hs-fs/hubfs/free-image-resizer-cropper%20(13).png?width=1314&height=987&name=free-image-resizer-cropper%20(13).png
Infographic | Kill the Wicked Witch of Paper-Based Processes,,Step-by-Step Guide: Defeat the Wicked Witch of Paper-Based Processes,,Get Your Infographic,https://www.civicplus.com/hs-fs/hubfs/CivicOptimize_Infographic-On-the-Yellow-Brick-Road-to_Digital-Optimization_CO-7002-120420-1.png?width=1200&height=1599&name=CivicOptimize_Infographic-On-the-Yellow-Brick-Road-to_Digital-Optimization_CO-7002-120420-1.png
Infographic: Deliver Prompt & Personalized Customer Service ,,The Most Effective Way to Deliver Prompt and Personalized Customer Service ,,Get Your Infographic,https://www.civicplus.com/hs-fs/hubfs/InfographicAsset%2010.png?width=1176&name=InfographicAsset%2010.png
CivicPlus | A Public Communicator’s Technology Roadmap ,,Infographic: A Public Communicator’s Technology Roadmap,,Get Your Infographic,https://www.civicplus.com/hs-fs/hubfs/2022-11-28%2016_26_40-InfographicAsset%206.pdf%20-%20Adobe%20Acrobat%20Pro%20(32-bit).png?width=1050&height=789&name=2022-11-28%2016_26_40-InfographicAsset%206.pdf%20-%20Adobe%20Acrobat%20Pro%20(32-bit).png
How to Solicit and Implement a New Rec Management System | CivicRec,,How to Solicit and Implement a New Rec Management System,Improve Your Parks and Recreation Operations,Get Your Infographic,https://www.civicplus.com/hubfs/rec-management-infographic.png
CivicEngage 6 Typical Problems Infographic,,Is Your Civic Website Plagued by These 6 Common Problems?,View Our Infographic to Find Out.,INFOGRAPHIC,https://www.civicplus.com/hs-fs/hubfs/2019_website/Engage/redesigning-fast-and-easy-1.png?width=1608&name=redesigning-fast-and-easy-1.png
CivicPlus | Crisis Communication Audit,,Crisis Communication Audit:,"No one could have predicted the COVID-19 crisis, and certainly, no one had time to archetype a crisis communication strategy. It’s okay. It’s not too late to consider everything you have learned so far and refine your ongoing approach. We can help.",
Municipal Websites Accessibility Checklist,,Does Your Civic Website Comply with the Latest Accessibility Standards?,"To ensure your current website meets the latest accessibility standards, download our Local Government Website Accessibility Checklist.",ACCESSIBILTY CHECKLIST,https://www.civicplus.com/hs-fs/hubfs/03-134-Checklist_Accessibility_2004-060622.png?width=900&name=03-134-Checklist_Accessibility_2004-060622.png
Website Planning Toolkit,,Make Redesigning Your Website Fast and Easy,Fill out the form to download your free copy of our Website Redesign Tool Kit to help plan your next website project.,Get Your Planning Tool Kit,https://www.civicplus.com/hs-fs/hubfs/CE-176%20Website%20Redesign%20Toolkit%20V2%20(1).png?width=900&name=CE-176%20Website%20Redesign%20Toolkit%20V2%20(1).png
Crisis Management Communication Template | CivicReady,,Free Downloadable Template: Crisis Management and Communications Planning for Government Communicators,BONUS: Government Emergency Communication Best Practices,Download Your Template,https://www.civicplus.com/hs-fs/hubfs/Crisis%20management%20template-2.png?width=990&height=1320&name=Crisis%20management%20template-2.png
Countdown to Community Event Checklist,,Countdown to Your Community Event Checklist,Planning a Community Event? Stay Organized with our Planning Checklist.,Get Your Checklist,https://www.civicplus.com/hs-fs/hubfs/06-Recreation-Management-Countdown-to-Your-Community-Event-Checklist-Tablet.png?width=975&height=1230&name=06-Recreation-Management-Countdown-to-Your-Community-Event-Checklist-Tablet.png
Digital Optimization | Interactive Checklist,,Download our Interactive Digital Optimization Checklist,,Get Your Checklist,https://www.civicplus.com/hs-fs/hubfs/Digital%20Optimization%20Checklist%20Final%20Graphic.png?width=1158&height=1395&name=Digital%20Optimization%20Checklist%20Final%20Graphic.png
White Paper | Make Technology Personal with CivicPlus® CRM Solutions ,,Make Technology Personal with Our SeeClickFix 311 CRM Solution,"An Individualized, Future-Driven Approach",Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/2022-10-24%2019_10_35-08-Macro-and-Micro-Communications-08-3005-103022.pdf.png?width=870&height=1161&name=2022-10-24%2019_10_35-08-Macro-and-Micro-Communications-08-3005-103022.pdf.png
CivicPlus | The Future of Personalized Resident Relationship Management White Paper,,White Paper: The Future of Personalized Resident Relationship Management,,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/08%20-%20landing%20page%20graphic%20-%20future%20of%20crm%20white%20paper%20-%202023.png?width=870&height=870&name=08%20-%20landing%20page%20graphic%20-%20future%20of%20crm%20white%20paper%20-%202023.png
White Paper | The ROI of 311 Citizen Request Management Technology,,"Streamline Process, Gain Efficiencies, and Strengthen Resident Trust",Increase your ROI on your 311 CRM Solution,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/08-White-Paper-ROI-of_CRM-Tablet.png?width=870&height=1098&name=08-White-Paper-ROI-of_CRM-Tablet.png
Contactless Government is Driving Citizen Request Management,,How the Need for Contactless Government is Driving Digital Resident Request Management Techniques,,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/How%20the%20need%20for%20contactless%20government.png?width=870&height=1059&name=How%20the%20need%20for%20contactless%20government.png
Digital Transformation in Local Government | CivicClerk,,White Paper: How Clerks Can Lead Digital Transformation,"It's Time to Give Citizens the On-Demand, Digital Access to Public Records they Want and Need",Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/Digital%20Transformation%20LP%20Image%20500x566.png?width=1308&name=Digital%20Transformation%20LP%20Image%20500x566.png
White Paper | The Technology Solutions Vital to Clerk Productivity,,White Paper: The Technology Solutions Vital to Clerk Productivity in Our Post-Pandemic Communities,,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/CivicClerk_Tech%20Solution_WP_image.png?width=1020&name=CivicClerk_Tech%20Solution_WP_image.png
White Paper | Benefit Your Business by Correcting your Accessibility Issues ,,"Benefit Your Business by Correcting your
Accessibility Issues ",Going Beyond Accessible Content,Get My White Paper,https://www.civicplus.com/hs-fs/hubfs/CP-White-Paper-Audio-Eye-Correcting-Err...Harming-Digital-Business-02-060122.png%20final-1.png?width=900&name=CP-White-Paper-Audio-Eye-Correcting-Err...Harming-Digital-Business-02-060122.png%20final-1.png
White Paper | The COVID-19 Budget Spending Paradox,,White Paper Download: The COVID-19 Budget Spending Paradox,,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/minimalistic-mockup-of-an-ipad-pro-in-portrait-mode-77-el%20(1).png?width=975&name=minimalistic-mockup-of-an-ipad-pro-in-portrait-mode-77-el%20(1).png
White Paper | The COVID-19 Budget Spending Paradox,,White Paper Download: The COVID-19 Budget Spending Paradox,,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/minimalistic-mockup-of-an-ipad-pro-in-portrait-mode-77-el%20(1).png?width=975&name=minimalistic-mockup-of-an-ipad-pro-in-portrait-mode-77-el%20(1).png
CivicEngage e-Government 101 White Paper,,How Much Money Can a Digital Engagement Strategy Save Your Community?, ,How Smart Governments are Cutting Costs While Better Engaging Citizens,https://www.civicplus.com/hs-fs/hubfs/2019_website/Engage/redesigning-fast-and-easy-1.png?width=1608&name=redesigning-fast-and-easy-1.png
Municipal Websites | Importance of Quality Web Design,,The Importance of Quality Civic Website Design,,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/free-image-resizer-cropper%20(1)-1.png?width=750&name=free-image-resizer-cropper%20(1)-1.png
White Paper | Why Modern Software Systems are Key,,Modern Software Systems are Key,Retain Millennial and Gen Z Workers,Get My White Paper,https://www.civicplus.com/hs-fs/hubfs/Why_MOdern_Software_is_Key_To_Employee_Recruitment.png?width=1377&name=Why_MOdern_Software_is_Key_To_Employee_Recruitment.png
CivicReady Disaster ebook,,White Paper: Calculating the ROI Of Emergency Mass Notification Technology, ,Download the White Paper,https://www.civicplus.com/hs-fs/hubfs/Mass%20Notification%20White%20Paper.png?width=2700&height=2025&name=Mass%20Notification%20White%20Paper.png
Improving Civic Experiences with Automated Communications,,"White Paper: Improving Civic Experiences
with Automated Communications",,Download the White Paper,https://www.civicplus.com/hs-fs/hubfs/Automated%20Communications%20landing%20page%20graphic.png?width=1500&height=1500&name=Automated%20Communications%20landing%20page%20graphic.png
10 Things to Look for When Choosing a Mass Notification System,,10 Things to Look for When Choosing a Mass Notification System, ,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/05-102-White-Paper-10-Things-to-Look-for-When-Choosing-a-Mass-Notification-System.png?width=750&name=05-102-White-Paper-10-Things-to-Look-for-When-Choosing-a-Mass-Notification-System.png
Mass Notifications Solution | Setting Up a CERT Checklist,,Free Community Emergency Response Team Set-Up Checklist, ,Get Your Checklist,https://www.civicplus.com/hs-fs/hubfs/Mass-Notifications-Checklist-CERT-Set-Up-01-1011-070622.png?width=1350&name=Mass-Notifications-Checklist-CERT-Set-Up-01-1011-070622.png
Prepare for Emergencies With a Mass Notification System,,Prepare Your Community for Emergencies With a Mass Notification System, ,Download the White Paper,https://www.civicplus.com/hs-fs/hubfs/05-White-Paper-Be-Emergency-Ready-05-3006-120622.png?width=1314&height=1752&name=05-White-Paper-Be-Emergency-Ready-05-3006-120622.png
CivicReady | Emergency Plans Should be Proactive Not Reactive,,"What Could Be at Risk if Your Emergency Plan Is Reactive, Rather Than Proactive?",Proactive Means Prepared,Download the White Paper,https://www.civicplus.com/hs-fs/hubfs/free-image-resizer-cropper%20(8).png?width=900&name=free-image-resizer-cropper%20(8).png
5 Best Practices for a Successful Recreation Software Implementation,,Implement Your Parks and Rec Software with Confidence,Follow our Implementation Guide for a Successful Project,Parks and Rec Software White Paper,https://www.civicplus.com/hs-fs/hubfs/CivicRec/CivicRec%20implementation%20white%20paper.png?width=1200&name=CivicRec%20implementation%20white%20paper.png
White Paper | The Budget Spending Paradox,,"White Paper: The Budget Spending Paradox
Why Spending Can Help Boost Your Local Economy",,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/06%20-%20landing%20page%20graphic%20-%20budget%20paradox%20-%202023.png?width=1500&height=1500&name=06%20-%20landing%20page%20graphic%20-%20budget%20paradox%20-%202023.png
Future-Proof Your Parks and Rec Promotional Strategy | CivicRec,,Future-Proof Your Parks and Rec Promotional Strategy,Learn How Your Parks and Rec Department Can Future-Proof its Promotional Efforts,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/06-White-Paper-Future%20Proof%20Parks%20%26%20Rec-Mockup.png?width=999&height=1260&name=06-White-Paper-Future%20Proof%20Parks%20%26%20Rec-Mockup.png
Inclusion in Parks and Recreation | CivicRec,,Inclusion in Parks and Recreation,What It Means to Your Residents and How to Adapt,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/free-image-resizer-cropper%20(1).png?width=900&name=free-image-resizer-cropper%20(1).png
What to Look for When Switching Recreation Software,,What to Look For When Switching Recreation Software,12 Questions to Ask Potential Partners to Ensure They Will Exceed Your Expectations,White Paper,https://www.civicplus.com/hs-fs/hubfs/Rec-Management-White-Paper-What-to-Look...ec-Software-Systems-06-3001-062822.png?width=900&name=Rec-Management-White-Paper-What-to-Look...ec-Software-Systems-06-3001-062822.png
Download How to Start a Volunteer Program in Your Community,,"How to Start a Volunteer Program in Your
Community in 11 Easy Steps",Volunteer participation is critical to resident engagement.,White Paper,https://www.civicplus.com/hs-fs/hubfs/2020%20CivicPulse/June/CivicRec/06-Fact-Sheet_Volunteer_Program_in_Your_Community_3007-081222.png?width=999&name=06-Fact-Sheet_Volunteer_Program_in_Your_Community_3007-081222.png
What is Recreation Management Software? (Handy Go-to-Guide Download) ,,"What is Recreation Management Software?
(Handy Go-to-Guide)", ,Guide,https://www.civicplus.com/hs-fs/hubfs/What%20is%20recreation%20management.png?width=999&name=What%20is%20recreation%20management.png
White Paper | How to Use Chatbots to Free Up Valuable Resources,,Learn Why Chatbots are Supplementing Service Teams in Municipalities Across the Country,,Get Your White Paper,https://www.civicplus.com/hs-fs/hubfs/02-CP-371_White_Paper%20Benefits%20of%20Chatbot_060822.png?width=1050&name=02-CP-371_White_Paper%20Benefits%20of%20Chatbot_060822.png
CivicOptimize | Digital Optimization and The Migration to Digital,,White Paper: What Does Digital Resident Service Look Like In a Post-Pandemic Community?, ,,https://www.civicplus.com/hs-fs/hubfs/09-White%20Paper_Digital%20Optimization%20Post%20COVID-3001-10141212%20(1).png?width=1050&height=1401&name=09-White%20Paper_Digital%20Optimization%20Post%20COVID-3001-10141212%20(1).png
eBook: How to Help Your Residents With Online Bill Pay,,How to Help Your Residents Feel Comfortable About Online Bill Pay, ,White Paper,https://www.civicplus.com/hs-fs/hubfs/09-White-Paper-Helping-Citizens-Become-Comfortable-With-Online-Bill-Pay_3002-10003822_Page_1.png?width=999&name=09-White-Paper-Helping-Citizens-Become-Comfortable-With-Online-Bill-Pay_3002-10003822_Page_1.png
